Formula,band_gap,density,vpa,packing fraction,avg d valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,transition metal fraction, mean Number, avg_dev Number, avg_dev MendeleevNumber, mean AtomicWeight, avg_dev AtomicWeight, mean MeltingT, avg_dev MeltingT, mode MeltingT, avg_dev Column, mean Row, avg_dev Row, range CovalentRadius, mean CovalentRadius, avg_dev CovalentRadius, mode CovalentRadius, range Electronegativity, mean Electronegativity, avg_dev Electronegativity, mean NdValence, avg_dev NdValence, avg_dev NValence, avg_dev NUnfilled, range GSvolume_pa, mean GSvolume_pa, mean GSbandgap, mean SpaceGroupNumber, avg_dev SpaceGroupNumber
BaCu2GeS4,0.973,4.366449705,22.11981215,0.49264743,3.75,0.225806452,0.290322581,0.483870968,0.25,26.25,10.25,19,58.164875,26.099875,810.0475,421.6875,388.36,3.5625,3.75,0.75,110,127.375,24.21875,105,1.69,2.1275,0.4525,3.75,4.6875,3.1875,0.8125,52.52,26.4853125,1.148875,148,78
LaSi2P6,1.009,3.345803813,21.00577937,0.356212319,0.111111111,0.43902439,0.536585366,0.024390244,0,19.44444444,8.345679012,13.58024691,42.324338,21.46247378,718.9777778,535.5703704,317.3,2.320987654,3.333333333,0.592592593,100,119,19.55555556,107,1.09,2.004444444,0.247407407,0.111111111,0.197530864,0.592592593,1.185185185,16.4575,23.68876984,1.255111111,73.33333333,95.11111111
LiAsS2,1.033,3.052822487,19.85264593,0.346531356,2.5,0.25,0.392857143,0.357142857,0,17,8,32.125,36.49815,19.211725,580.1025,254.94875,388.36,5.5,3,0.5,23,114.25,9.25,105,1.6,2.08,0.55,2.5,3.75,4,0.5,9.193541667,22.58552083,1.101,133.75,63.75
SrCu2GeS4,1.046,4.08715125,21.1069985,0.468201949,3.75,0.225806452,0.290322581,0.483870968,0.25,24,8,19.15625,51.9515,19.8865,816.2975,427.9375,388.36,3.5625,3.625,0.625,90,124.875,21.09375,105,1.63,2.135,0.445,3.75,4.6875,3.1875,0.8125,43.16,25.3153125,1.148875,147.5,77.5
Ba2BiInSe5,1.061,5.766765122,31.77854054,0.517010258,7.777777778,0.142857143,0.19047619,0.555555556,0,46,13.33333333,26.81481481,110.3613778,34.89041975,604.9055556,175.5975309,494,4.641975309,4.777777778,0.864197531,95,146.6666667,30.66666667,120,1.66,2.036666667,0.57037037,7.777777778,3.456790123,5.555555556,0.888888889,39.33,34.88777778,0.443888889,75.44444444,82.37037037
Na(GeP)3,1.085,3.487265054,22.70872939,0.387132987,4.285714286,0.224137931,0.25862069,0.517241379,0,21.71428571,8.816326531,19.34693878,47.69015075,21.38558507,708.1385714,431.3669388,317.3,3.306122449,3.428571429,0.489795918,59,121,12.85714286,107,1.26,1.932857143,0.286530612,4.285714286,4.897959184,4.897959184,0.734693878,6.673095238,23.70986395,0.860571429,130,109.7142857
Ba5In4Te4S7,1.132,4.718509675,33.09391091,0.522514032,4,0.238095238,0.285714286,0.476190476,0,39.8,16.66,28.525,94.0381,43.38117,616.408,234.2968,388.36,4.95,4.55,1.085,110,146.5,34.25,105,1.69,1.9015,0.55435,4,4.8,4.88,1.16,39.33,36.72757292,0.8635,139.95,49.345
BaHgS2,1.156,5.803646073,28.75841935,0.557615097,2.5,0.2,0.2,0.25,0,42,26,27.5,100.51175,68.44675,502.76,248.62,388.36,4.75,4.5,1.5,110,139.25,37.875,105,1.69,2.0125,0.5675,2.5,3.75,8,1,38.35241379,35.10033405,1.101,133.75,63.75
Rb2P2Se6,1.292,3.757298607,31.23011068,0.49735504,6,0.166666667,0.277777778,0.555555556,0,30.8,6.32,26.72,70.6643124,15.87622016,422.352,85.9776,494,4.72,4,0.4,113,137.4,33.04,120,1.73,2.132,0.5248,6,4.8,6.24,0.4,68.1522619,38.21054762,0.8044,54.6,69.76
Ca2CdP2,1.292,3.544535942,23.84691915,0.610847548,2,0.384615385,0.230769231,0.384615385,0,23.6,9.76,34.4,50.9029048,24.60323808,691.764,338.5888,317.3,5.76,3.8,0.64,69,142,28,107,1.19,1.614,0.4912,2,3.2,2.72,1.44,18.275,28.03509524,0.65,129.6,102.08
K2P2Se6,1.315,3.484707384,29.25387037,0.464231955,6,0.166666667,0.277777778,0.555555556,0,27.2,8.16,27.04,61.3904124,21.08350512,427.166,80.2008,494,4.72,3.8,0.32,96,134,27.6,120,1.73,2.132,0.5248,6,4.8,6.24,0.4,50.53642857,34.68738095,0.8044,54.6,69.76
Rb4GeP4Se12,1.368,3.61378918,32.51353901,0.466956081,6.19047619,0.165217391,0.269565217,0.565217391,0,30.85714286,6.040816327,25.59637188,70.75839276,15.15604981,459.9257143,110.5110204,494,4.517006803,4,0.380952381,113,136.5714286,31.78231293,120,1.73,2.126190476,0.508662132,6.19047619,4.716553288,6.058956916,0.526077098,68.1522619,37.48647392,0.784333333,62.71428571,78.80272109
LiInTe2,1.374,4.704605028,33.26289573,0.385990615,7.5,0.152173913,0.195652174,0.652173913,0,39,18,31.5,94.23975,43.649375,582.19,140.47,722.66,5.25,4.25,1.125,14,136.5,4.25,138,1.12,1.74,0.38,7.5,3.75,5.25,1.25,18.17,27.595,0.232,168,30.5
Cs4GeP4Se12,1.383,3.646212916,36.3394248,0.518750006,6.19047619,0.165217391,0.269565217,0.565217391,0,34.28571429,7.891156463,25.28798186,79.79413598,20.23288225,457.8552381,113.0744671,494,4.517006803,4.19047619,0.689342404,137,141.1428571,39.18367347,120,1.76,2.12047619,0.517369615,6.19047619,4.716553288,6.058956916,0.526077098,93.1947619,42.25647392,0.784333333,62.71428571,78.80272109
K4GeP4Se12,1.398,3.321124546,30.96262082,0.430308196,6.19047619,0.165217391,0.269565217,0.565217391,0,27.42857143,7.945578231,25.9047619,61.92610705,20.48767699,464.5104762,104.8346485,494,4.517006803,3.80952381,0.308390023,96,133.3333333,26.53968254,120,1.73,2.126190476,0.508662132,6.19047619,4.716553288,6.058956916,0.526077098,50.53642857,34.1310771,0.784333333,62.71428571,78.80272109
Na2CoGeO4,1.422,3.624913336,13.831495,0.641329709,2.125,0.285714286,0.367346939,0.346938776,0.125,14.125,7.6875,30.34375,30.19379169,17.7964029,492.5425,498.57875,54.8,5.59375,2.75,0.75,100,105.25,39.25,66,2.51,2.43875,1.00125,2.125,3.1875,2.6875,0.6875,20.13833333,16.01958333,0.047875,115.625,103.625
Ba2BiInS5 ,1.452,4.952783997,28.26647075,0.53836577,2.222222222,0.236842105,0.315789474,0.263157895,0,36,22.22222222,26.56790123,84.3086,58.04844444,546.2166667,201.6814815,388.36,4.641975309,4.222222222,1.358024691,110,138.3333333,37.03703704,105,1.69,2.053333333,0.585185185,2.222222222,3.456790123,5.580246914,0.888888889,39.33,34.81381944,1.223333333,106.5555556,61.62962963
RuSi4P4,1.46,3.70727243,16.78717054,0.31941755,0.777777778,0.386363636,0.454545455,0.159090909,0.111111111,17.77777778,5.827160494,4.839506173,37.47856089,14.13143091,1180.466667,767.2592593,317.3,1.283950617,3.222222222,0.395061728,39,113.1111111,7.308641975,107,0.3,2.062222222,0.144197531,0.777777778,1.382716049,0.790123457,0.49382716,9.060238095,20.61677249,1.065777778,123.3333333,107.8518519
MgSiAs2,1.474,3.590920896,23.37958487,0.34703032,5,0.222222222,0.222222222,0.555555556,0,23,10,5.5,50.558425,24.363175,1197.5,244.75,1090,4.75,3.5,0.5,30,122.5,9.25,119,0.87,1.8925,0.29125,5,5,6,1.25,2.45,21.92,0.19325,188.25,22.25
BaGa4Se7,1.495,4.989722288,26.87125271,0.381557823,9.166666667,0.144578313,0.192771084,0.662650602,0,34.83333333,3.527777778,13.61111111,80.74491667,9.430347222,472.47,113.04,494,2.527777778,4.166666667,0.305555556,95,128.5833333,14.40277778,120,1.66,2.165,0.449166667,9.166666667,1.527777778,2.527777778,1.444444444,44.7325,26.705,0.466083333,48.58333333,40.34722222
LiGaGe2Se6,1.51,4.109947039,28.10848071,0.272369905,9,0.137681159,0.210144928,0.652173913,0,30.2,5.44,15.68,69.5704,12.52588,614.34,238.824,494,2.72,3.8,0.36,8,121,1.6,120,1.57,2.211,0.4068,9,1.8,2.72,1.04,9.326666667,23.69808333,0.556,82.7,86.18
Li2In2GeSe6,1.541,4.375023986,27.25574041,0.344021448,8.181818182,0.144927536,0.202898551,0.652173913,0,30.90909091,10.14876033,24.92561983,71.81072727,23.58899174,540.2072727,122.0350413,494,4.198347107,3.818181818,0.661157025,22,125.4545455,6.94214876,120,1.57,2.075454545,0.51768595,8.181818182,2.975206612,4.198347107,1.157024793,9.326666667,23.65742424,0.470636364,95,88.36363636
LiGaTe2,1.588,4.598910541,29.95672192,0.375215481,7.5,0.152173913,0.195652174,0.652173913,0,34.5,17.5,31.375,82.966,44.634,550.48,172.18,722.66,5.25,4,1,16,131.5,6.5,138,1.12,1.7475,0.38375,7.5,3.75,5.25,1.25,18.17,26.244375,0.232,149.25,42.625
HgBr2,1.682,5.884107445,33.90233575,0.264273036,10,0.1,0.166666667,0.5,0,50,20,10.66666667,120.1326667,53.63822222,255.3066667,13.99111111,265.8,2.222222222,4.666666667,0.888888889,12,124,5.333333333,120,0.96,2.64,0.426666667,10,0,4,0.444444444,4.242413793,28.06586207,0.971333333,98,45.33333333
Cs2Hg3I8,1.731,5.00777094,48.02521556,0.451058203,8.461538462,0.111111111,0.185185185,0.509259259,0,59.53846154,9.443786982,24.33136095,144.8320511,25.73443797,338.5338462,59.4660355,386.85,4.449704142,5.384615385,0.473372781,112,153.5384615,27.83431953,139,1.87,2.22,0.541538462,8.461538462,2.603550296,4.804733728,0.355029586,90.52741379,50.10482759,0.653538462,112.9230769,60.21301775
KPSe6,1.781,3.825810071,29.50533246,0.368640085,7.5,0.147058824,0.264705882,0.588235294,0,29.75,6.375,18.625,67.97900775,16.47148838,452.22875,62.656875,494,3.25,3.875,0.21875,96,128.75,18.5625,120,1.73,2.28875,0.391875,7.5,3.75,4.875,0.25,50.53642857,31.3996131,0.802375,39.375,47.40625
RbPSe6,1.792,4.004124228,30.59510317,0.395382486,7.5,0.147058824,0.264705882,0.588235294,0,32,4.25,18.40625,73.77519525,10.70035831,449.22,67.17,494,3.25,4,0.25,113,130.875,22.28125,120,1.73,2.28875,0.391875,7.5,3.75,4.875,0.25,68.1522619,33.60159226,0.802375,39.375,47.40625
Li2In2SiSe6,1.815,4.234307584,26.57309449,0.343943933,7.272727273,0.15625,0.21875,0.625,0,29.27272727,12.33057851,24.89256198,67.76031818,29.32971901,583.4436364,200.6466116,494,4.198347107,3.727272727,0.760330579,31,124.6363636,7.537190083,120,1.57,2.065454545,0.528595041,7.272727273,3.966942149,5.256198347,1.157024793,9.326666667,23.42424242,0.506090909,95.18181818,88.56198347
RbB6S2(Cl3O2)2,1.815,1.937332421,22.15804777,0.253978476,0,0.381443299,0.618556701,0,0,12.26315789,6.382271468,13.20775623,25.85154737,13.64756565,864.5252632,936.9314127,171.6,2.426592798,2.578947368,0.609418283,154,95.26315789,19.43490305,84,2.62,2.681052632,0.622049861,0,0,1.761772853,1.529085873,83.55,19.40717105,1.500315789,94.57894737,59.25761773
NaBa4Ge3S10Cl,1.842,3.585698954,27.94009208,0.492724294,1.578947368,0.313559322,0.43220339,0.254237288,0,26.73684211,13.9833795,30.59833795,60.33267207,36.305189,634.7510526,335.8886981,388.36,5.368421053,3.789473684,0.997229917,113,133.5789474,37.69529086,105,2.27,2.077894737,0.642437673,1.578947368,2.659279778,2.542936288,0.91966759,40.585,33.42024123,1.350631579,136,77.05263158
Rb3Ta2AsS11,1.893,3.654783173,27.9539749,0.507288072,0.941176471,0.254098361,0.385245902,0.131147541,0.117647059,27.41176471,14.76816609,27.43252595,61.52563294,38.12552498,757.6082353,634.9617993,388.36,5.529411765,3.764705882,0.989619377,115,133.7647059,38.96193772,105,1.76,2.118823529,0.604013841,0.941176471,1.55017301,3.702422145,1.128027682,72.6025,36.13165441,1.424823529,122.4117647,67.82698962
BaGa2GeSe6,1.918,4.882512152,27.99605782,0.38019746,9,0.144927536,0.202898551,0.652173913,0,35.4,4.12,14.8,82.3173,11.00194,578.122,211.0312,494,2.68,4.2,0.36,95,129.9,17.02,120,1.66,2.182,0.4416,9,1.8,2.68,1.24,44.7325,27.983,0.5177,66.6,64.16
KCd4Ga5S12,1.974,3.743866079,24.63917207,0.375004678,4.090909091,0.231182796,0.284946237,0.483870968,0,25.36363636,10.79338843,11.25619835,55.55169545,27.11761281,404.0127273,69.16628099,388.36,2.280991736,3.636363636,0.694214876,98,120.4090909,16.80991736,105,1.76,2.163181818,0.454710744,4.090909091,4.834710744,3.355371901,1.239669421,54.24916667,25.21893939,1.201090909,98.40909091,46.6322314
Li2Ga2GeS6,1.994,2.839573933,22.24084634,0.315797406,2.727272727,0.256410256,0.358974359,0.384615385,0,17.81818182,7.371900826,24.66115702,38.03254545,17.81606612,459.5236364,136.7047934,388.36,4.198347107,3.090909091,0.495867769,23,113.6363636,9.421487603,105,1.6,2.097272727,0.52661157,2.727272727,3.966942149,3.404958678,1.157024793,9.193541667,22.60253788,1.235909091,111.9090909,63.14049587
