Formula,band_gap,density,vpa,packing fraction,avg d valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,transition metal fraction, mean Number, avg_dev Number, avg_dev MendeleevNumber, mean AtomicWeight, avg_dev AtomicWeight, mean MeltingT, avg_dev MeltingT, mode MeltingT, avg_dev Column, mean Row, avg_dev Row, range CovalentRadius, mean CovalentRadius, avg_dev CovalentRadius, mode CovalentRadius, range Electronegativity, mean Electronegativity, avg_dev Electronegativity, mean NdValence, avg_dev NdValence, avg_dev NValence, avg_dev NUnfilled, range GSvolume_pa, mean GSvolume_pa, mean GSbandgap, mean SpaceGroupNumber, avg_dev SpaceGroupNumber
Zn2Ge3O8,2.339,5.446922781,11.17969419,0.36050189,3.846153846,0.228070175,0.333333333,0.438596491,0,16.92307692,10.98224852,5.680473373,36.66732308,25.43744379,419.8430769,449.283787,54.8,1.325443787,2.769230769,0.946745562,56,87.07692308,25.9408284,66,1.79,2.834615385,0.745088757,3.846153846,4.733727811,3.408284024,0.852071006,13.9,13.05961538,0.088384615,89.15384615,94.95857988
NaGeSbO5,2.369,4.421562288,13.96062964,0.446829769,2.5,0.25,0.416666667,0.333333333,0,16.75,12.375,18.28125,37.17334616,30.01332692,345.00625,362.7578125,54.8,3.1875,2.75,0.9375,100,94.375,35.46875,66,2.51,2.77375,0.8328125,2.5,3.75,3.5,0.625,22.455,16.16666667,0.047875,85,91.25
Ge(Bi3O5)4,2.376,9.204318987,15.8562438,0.443691426,3.939393939,0.136929461,0.244813278,0.269709544,0,36,34.18181818,0.734618916,87.89069091,88.06524298,267.8848485,258.2846648,54.8,0.514233242,3.515151515,1.836547291,82,97.45454545,38.12672176,66,1.43,2.88030303,0.678420569,3.939393939,4.775022957,10.46831956,0.514233242,23.845,18.19712121,0.011606061,18.45454545,12.51790634
BaGa2SiSe6,2.389,4.675939639,27.65062291,0.375522642,8,0.15625,0.21875,0.625,0,33.6,4.96,14.74,77.86185,13.21081,625.682,287.1272,494,2.68,4.1,0.38,104,129,17.2,120,1.66,2.171,0.4548,8,3.2,3.92,1.24,44.7325,27.7265,0.5567,66.8,64.48
BaAl4Se7 ,2.393,4.129855152,26.73753171,0.370730667,5.833333333,0.19047619,0.253968254,0.555555556,0,28.83333333,10.55555556,14,66.49776287,26.34414951,682.6566667,220.0994444,494,2.527777778,3.833333333,0.555555556,95,128.25,14.45833333,120,1.66,2.098333333,0.526944444,5.833333333,4.861111111,6.416666667,1.444444444,47.11,25.9125,0.466083333,102.25,102.9583333
Ge3Pb5O11,2.411,6.986570619,17.88715125,0.460905321,4.210526316,0.153225806,0.241935484,0.322580645,0,31.26315789,26.93628809,3.290858726,75.2586,69.44284211,381.0552632,377.7692521,54.8,0.975069252,3.368421053,1.584487535,80,95.57894737,34.24930748,66,1.43,2.922105263,0.59966759,4.210526316,4.87534626,8.166204986,0.975069252,19.005,16.30105263,0.060473684,101.6842105,103.8448753
Mn4Be3Ge3SO12,2.422,3.650366222,13.62250126,0.319526116,2.173913043,0.298701299,0.376623377,0.324675325,0.173913043,13.91304348,8.756143667,11.48960302,29.9463707,20.01445343,671.1373913,667.7240076,54.8,4.559546314,2.652173913,0.850661626,73,91.34782609,26.44990548,66,1.89,2.643478261,0.831153119,2.173913043,3.024574669,2.011342155,1.247637051,17.896875,11.72531391,0.145695652,101.6956522,96.35160681
Li2In2SiS6,2.427,3.071233566,22.80633311,0.348568188,1.818181818,0.294117647,0.411764706,0.294117647,0,19.45454545,10.74380165,24.69421488,42.18122727,26.4133719,525.8218182,211.1233058,388.36,4.198347107,3.181818182,0.661157025,37,116.4545455,13.48760331,105,1.6,2.081818182,0.543471074,1.818181818,2.975206612,2.479338843,1.157024793,9.193541667,23.35162879,1.271363636,125.7272727,60.79338843
Zn3P2S8,2.431,2.972209818,22.11952662,0.253190445,2.307692308,0.276595745,0.404255319,0.319148936,0,19.07692308,5.041420118,6.390532544,39.58519415,11.90529501,447.6553846,113.088284,388.36,1.349112426,3.230769231,0.355029586,17,109.2307692,5.893491124,105,0.93,2.305384615,0.337988166,2.307692308,3.550295858,2.201183432,0.781065089,11.826875,22.56272894,1.605076923,88.15384615,48.85207101
Ba2MnGe2O7,2.434,4.667687832,17.39828188,0.562553098,2.083333333,0.296296296,0.395061728,0.308641975,0.083333333,21.41666667,15.65277778,23.20833333,48.90565375,38.39062937,527.1166667,551.0361111,54.8,4.458333333,3.166666667,1.361111111,149,105.9166667,46.56944444,66,2.55,2.619166667,0.957638889,2.083333333,3.125,2.458333333,1.041666667,54.485,20.61771552,0.063833333,100.75,103.5416667
InPS4,2.475,3.056129866,24.81753487,0.245407681,1.666666667,0.285714286,0.476190476,0.238095238,0,21.33333333,9.222222222,4,45.67529367,23.04756878,383.415,22.03833333,388.36,0.888888889,3.333333333,0.555555556,37,111.5,10.16666667,105,0.8,2.381666667,0.264444444,1.666666667,2.777777778,2,0.888888889,3.216636905,24.99628968,1.738833333,70.16666667,22.94444444
Mn4Be3Ge3SeO12,2.54,3.819994597,13.90389747,0.319882059,2.608695652,0.280487805,0.353658537,0.365853659,0.173913043,14.69565217,9.776937618,11.51606805,31.98528374,22.67390522,675.7304348,663.7300567,54.8,4.559546314,2.695652174,0.907372401,73,92,27.13043478,66,1.89,2.642173913,0.832514178,2.608695652,3.402646503,2.563327032,1.247637051,18.03,11.73110195,0.084695652,99.26086957,98.46880907
K3Ti(O2)2F3,2.547,2.644567308,16.33438115,0.837556653,0.181818182,0.365384615,0.596153846,0.038461538,0.090909091,12.54545455,5.239669421,35.43801653,26.01406451,11.11011672,302.7536364,316.2864463,54.8,6.79338843,2.727272727,0.925619835,146,109.4545455,60.21487603,66,3.16,2.7,1.236363636,0.181818182,0.330578512,2.165289256,1.090909091,64.00166667,27.41386364,0.537272727,88.54545455,95.78512397
BaGa4S7 ,2.58,3.824823525,23.17893883,0.387429254,3.333333333,0.25,0.333333333,0.416666667,0,24.33333333,9.722222222,13.125,53.3895,24.87858333,410.8466667,98.19222222,388.36,2.527777778,3.583333333,0.680555556,110,119.8333333,17.30555556,105,1.69,2.1825,0.46375,3.333333333,4.444444444,3.333333333,1.444444444,44.7325,26.62734375,1.2845,81.25,24.625
SrBi2B2O7,2.652,6.52568045,13.55432401,0.487564112,1.666666667,0.222222222,0.333333333,0.185185185,0,22.5,22.75,13.54166667,53.26655,57.63019167,601.5333333,656.9,54.8,2.416666667,2.916666667,1.375,129,93.41666667,35.125,66,2.49,2.7625,0.790416667,1.666666667,2.777777778,6.666666667,1,47.0575,16.5175,0.254,55.41666667,65.125
BaCdGeS4,2.672,3.841994063,27.82416748,0.421856753,2.857142857,0.269230769,0.346153846,0.384615385,0,28.57142857,14.36734694,19.06122449,64.37685714,36.92783673,622.7228571,275.9869388,388.36,3.510204082,3.857142857,0.979591837,110,128.4285714,29.18367347,105,1.69,2.13,0.514285714,2.857142857,4.081632653,3.183673469,0.979591837,44.095,29.89107143,1.313,132.5714286,71.51020408
KGeSbO5,2.717,4.213675587,15.44290674,0.567229782,2.5,0.25,0.416666667,0.333333333,0,17.75,12.1875,18.0625,39.1869125,29.00654375,340.71375,358.438125,54.8,3.1875,2.875,1.09375,137,99,41.25,66,2.62,2.76,0.85,2.5,3.75,3.5,0.625,64.00166667,21.64958333,0.047875,85,91.25
Ca10Ge16(B2O17)3,2.726,4.158731165,11.75670616,0.447597189,1.927710843,0.292253521,0.426056338,0.281690141,0,13.85542169,8.476121353,16.71708521,29.44404096,19.21626349,571.2674699,634.694963,54.8,2.924662505,2.626506024,0.86050225,110,90.96385542,31.6852954,66,2.44,2.769156627,0.824409929,1.927710843,3.112207868,2.759181304,1.013209464,30.5975,15.09843373,0.184,89.85542169,95.67774713
LiZnPS4,2.731,2.497266972,21.99855673,0.285862885,1.428571429,0.30952381,0.452380952,0.238095238,0,16,4,21.2244898,33.07925171,9.228785224,431.0157143,81.23959184,388.36,3.795918367,3,0.285714286,23,111,8,105,1.6,2.162857143,0.484489796,1.428571429,2.448979592,1.714285714,0.693877551,11.826875,22.32443878,1.490428571,100.7142857,63.30612245
LiGeBO4,2.731,3.525050643,10.38971749,0.37321016,1.428571429,0.30952381,0.452380952,0.238095238,0,10.28571429,6.204081633,20.12244898,22.05565714,14.45266939,604.6128571,671.4783673,54.8,3.510204082,2.285714286,0.489795918,62,85.14285714,22.20408163,66,2.46,2.684285714,0.863673469,1.428571429,2.448979592,2.285714286,1.102040816,15.8325,11.88440476,0.272428571,95.42857143,95.34693878
K2ZnGeO4,2.746,3.648606378,15.94289482,0.872730594,2.5,0.269230769,0.346153846,0.384615385,0,16.5,8.5,29.875,35.026775,19.027375,349.5425,301.24875,54.8,5.25,3,1,137,114,48,66,2.62,2.3825,1.0575,2.5,3.75,3.25,0.8125,64.00166667,27.44979167,0.047875,115.625,103.625
Na4MgSi2Se6,2.763,3.407736883,24.22162831,0.512026753,4.615384615,0.2,0.254545455,0.545454545,0,22.15384615,10.93491124,35.0295858,49.70731362,27.00247973,672.6523077,350.6220118,494,6.769230769,3.461538462,0.49704142,55,134.3846154,20.47337278,120,1.62,1.856153846,0.653964497,4.615384615,4.970414201,6.958579882,0.804733728,8.803333333,25.86641026,0.487692308,126.7692308,104.0946746
BaGa2GeS6,2.766,3.723094554,24.16497983,0.386299864,3,0.256410256,0.358974359,0.384615385,0,24.6,10.32,14.44,54.1803,26.53836,514.738,236.3848,388.36,2.68,3.6,0.72,110,120.9,19.26,105,1.69,2.2,0.456,3,4.2,3.32,1.24,44.7325,27.903125,1.3595,100.2,50.72
Li2ZrTeO6,2.779,4.888719201,11.1649525,0.520032169,1.2,0.310344828,0.482758621,0.206896552,0,14.6,12.56,30.28,32.87024,30.616704,408.684,424.6608,54.8,5.88,2.6,0.96,109,96.5,36.6,66,2.46,2.603,1.0044,1.2,1.92,2.28,1.12,25.65833333,14.5775,0.0464,87.6,90.72
RbIO3,2.836,4.684210198,18.46011682,0.742898571,2,0.25,0.472222222,0.277777778,0,22.8,17.76,27.28,52.074094,43.2896328,172.742,141.5304,54.8,4.88,3.2,1.44,154,111.4,54.48,66,2.62,2.76,0.816,2,3.2,3.92,0.48,81.6175,32.2105,0.2124,65.8,65.28
TlBO2,2.865,6.403281242,16.0259164,0.516552522,2.5,0.19047619,0.238095238,0.238095238,0,25.5,27.75,6.5,61.798275,71.2925125,758.65,794.675,54.8,1.5,3,1.5,79,90.25,27.375,66,1.82,2.635,0.805,2.5,3.75,8.25,1.5,19.7375,13.073125,0.381,96,84
LiGaS2,2.926,2.923762048,19.99084856,0.379553711,2.5,0.269230769,0.346153846,0.384615385,0,16.5,7.25,30.875,35.1985,17.26225,383.33,40.21,388.36,5.25,3,0.5,23,115,10,105,1.6,1.9875,0.5925,2.5,3.75,3.25,1.25,9.193541667,21.75614583,1.101,108.25,60.375
Rb2Na(NO3)3,3.014,2.5849131,16.27147744,0.593047001,0,0.375,0.625,0,0,11.86666667,6.702222222,26.37333333,25.32933795,16.03692321,111.876,88.0216,54.8,4.72,2.466666667,0.746666667,154,94.2,43.12,66,2.62,2.843333333,0.794666667,0,0,1.52,0.4,81.6175,22.46263889,1.2874,91.8,95.76
K2TiOF4,3.022,2.887948384,15.67252406,0.827065968,0.25,0.35,0.6,0.05,0.125,13,5.25,35.375,27.2570766,11.07309255,360.3575,395.160625,53.5,6.9375,2.75,0.9375,146,107.5,60.875,57,3.16,2.8175,1.318125,0.25,0.4375,2.25,1.5,64.00166667,26.35479167,0.985,90.5,95.125
B6Pb3O11F2,3.025,5.355298384,12.69127746,0.357158262,1.363636364,0.241758242,0.362637363,0.164835165,0,17.36363636,17.62809917,6.247933884,40.92982756,45.34641066,754.5286364,869.1661983,54.8,1.363636364,2.545454545,0.94214876,89,81,19.36363636,66,1.94,2.955909091,0.670289256,1.363636364,2.355371901,5.380165289,1.363636364,20.9375,11.22431818,0.594727273,83.31818182,83.73966942
Li2NiGe3O8,3.043,4.852038895,10.23016164,0.472189285,2.714285714,0.254901961,0.37254902,0.37254902,0.071428571,13.85714286,9.795918367,21.48979592,29.89218571,22.43495102,479.1414286,492.2334694,54.8,3.857142857,2.571428571,0.816326531,62,90.57142857,28.08163265,66,2.46,2.672857143,0.876734694,2.714285714,3.87755102,3.265306122,0.734693878,13.9,13.24011905,0.082071429,103.8571429,104.9795918
Ca2ZnGe2O7,3.048,3.934383507,14.168524,0.481466031,2.5,0.279069767,0.372093023,0.348837209,0,15.83333333,9.138888889,21.58333333,33.56765,20.49629167,477.4233333,493.0605556,54.8,3.833333333,2.833333333,0.972222222,110,98,37.33333333,66,2.44,2.645833333,0.926527778,2.5,3.75,3.083333333,0.916666667,28.665,16.60375,0.063833333,98.16666667,100.5277778
BaGa2SiS6,3.09,3.458550074,23.8741826,0.3800898,2,0.294117647,0.411764706,0.294117647,0,22.8,9.92,14.38,49.72485,25.51969,562.298,312.4808,388.36,2.68,3.5,0.7,110,120,19.8,105,1.69,2.189,0.4692,2,3.2,2.48,1.24,44.7325,27.646625,1.3985,100.4,51.04
Ba2ZnGe2O7,3.106,4.883773882,16.92516958,0.572428745,2.5,0.279069767,0.372093023,0.348837209,0,21.83333333,16.13888889,21.08333333,49.77581667,39.40581944,458.2566667,470.6994444,54.8,3.833333333,3.166666667,1.361111111,149,104.5,44.91666667,66,2.55,2.6275,0.947916667,2.5,3.75,3.083333333,0.916666667,54.485,20.90708333,0.063833333,98.83333333,101.3055556
Sr2ZnGe2O7,3.115,4.490112389,15.34526516,0.543178137,2.5,0.279069767,0.372093023,0.348837209,0,18.83333333,12.63888889,21.33333333,41.49131667,29.74056944,466.59,480.4216667,54.8,3.833333333,3,1.166666667,129,101.1666667,41.02777778,66,2.49,2.6375,0.93625,2.5,3.75,3.083333333,0.916666667,45.125,19.34708333,0.063833333,98.16666667,100.5277778
NaI3O8,3.141,4.711493812,15.61617125,0.352996123,2.5,0.23,0.47,0.3,0,19.5,16.75,13.36111111,44.30819827,41.29813586,164.1516667,145.8022222,54.8,2.333333333,2.833333333,1.111111111,100,92.58333333,35.44444444,66,2.51,3.035833333,0.538888889,2.5,3.75,4.333333333,0.444444444,33.91,19.26069444,0.2655,43.08333333,41.44444444
Rb2CdBr2I2,3.171,3.672214036,45.02286534,0.507840546,7.142857143,0.146341463,0.243902439,0.609756098,0,42.57142857,7.510204082,35.26530612,99.56622,19.29179429,360.6342857,81.71918367,265.8,6.12244898,4.714285714,0.408163265,100,157.4285714,35.75510204,120,2.14,2.081428571,0.832653061,7.142857143,4.081632653,6.12244898,0.244897959,71.2275,49.41857143,0.719714286,129.7142857,75.10204082
RbNb(GeO3)3,3.172,3.902688788,16.42037571,0.434209427,2.428571429,0.254901961,0.411764706,0.333333333,0.071428571,17.57142857,12.30612245,14.57142857,38.59205571,29.0477002,513.5614286,618.564898,54.8,3.06122449,2.857142857,1.102040816,154,95.57142857,38.02040816,66,2.62,2.815,0.803571429,2.428571429,3.469387755,2.87755102,1.163265306,81.6175,18.56160714,0.082071429,88.64285714,98.54081633
Ba2MoO3F4,3.225,4.976284273,16.50386149,0.610998326,0.5,0.339285714,0.571428571,0.089285714,0.1,21.4,17.96,28.46,49.46058128,44.44645123,527.44,662.736,53.5,5.56,3.1,1.54,158,101,56.2,57,3.09,3.018,1.0228,0.5,0.9,1.44,1.12,54.485,20.9015,0.788,78.3,90.42
Pb2(SeO3)(NO3)2,3.245,5.072444579,15.5584261,0.301501193,2.142857143,0.205882353,0.367647059,0.220588235,0,20.28571429,19.59183673,2.326530612,47.52628571,50.11159184,165.3228571,171.3216327,54.8,0.612244898,2.714285714,1.12244898,80,82,23.71428571,66,1.11,3.160714286,0.359081633,2.142857143,3.367346939,6.12244898,0.612244898,19.005,13.83017857,0.976642857,68.57142857,80.53061224
Sb6O7(SO4)2,3.247,5.112666625,14.61101076,0.293315314,2.608695652,0.239583333,0.447916667,0.3125,0,19.91304348,16.21928166,0.816635161,44.98613043,40.05593195,305.2782609,326.710775,54.8,0.38563327,2.869565217,1.134215501,73,88.43478261,29.26275992,66,1.39,3.002608696,0.570510397,2.608695652,3.856332703,3.470699433,0.38563327,22.455,16.41342391,0.191478261,57.2173913,58.97920605
Ba3B3Pb2BrO9,3.258,5.691820912,17.54844166,0.620435937,1.666666667,0.253521127,0.338028169,0.211267606,0,25.22222222,23.96296296,20.75925926,60.1507,60.59786667,666.9011111,671.3992593,54.8,3.666666667,3.222222222,1.62962963,149,105.7222222,46.96296296,66,2.55,2.631666667,0.844814815,1.666666667,2.777777778,5.481481481,1.259259259,56.4175,21.10736111,0.334944444,100.3888889,92.43209877
Zn(IO3)2,3.259,5.227838769,14.65401889,0.293607339,3.333333333,0.219512195,0.414634146,0.365853659,0,20.44444444,16.59259259,4,46.13170444,40.17640593,199.4644444,192.8859259,54.8,0.839506173,2.888888889,1.185185185,73,88.44444444,29.92592593,66,1.79,3.067777778,0.496296296,3.333333333,4.444444444,4.148148148,0.592592593,33.91,17.18,0.236,43.77777778,42.37037037
Li2Ge2O5,3.3,3.532485704,12.49145144,0.412962029,2.222222222,0.266666667,0.4,0.333333333,0,12.22222222,8.790123457,28.9382716,26.57322222,20.47412346,400.4644444,384.0716049,54.8,4.987654321,2.444444444,0.691358025,62,91.77777778,28.64197531,66,2.46,2.575555556,0.960493827,2.222222222,3.456790123,3.259259259,0.790123457,13.9,13.85796296,0.085111111,107.5555556,106.1728395
La3SnGa5O14,3.311,5.833618599,13.71310902,0.521966053,2.739130435,0.26744186,0.36627907,0.36627907,0,21.2173913,16.09073724,16.06427221,48.17534826,39.17071962,276.7752174,270.2306994,54.8,3.001890359,3.086956522,1.323251418,141,99.73913043,41.07372401,66,2.34,2.716086957,0.881285444,2.739130435,3.788279773,2.967863894,2.011342155,27.7925,15.90152174,0,52.65217391,49.48960302
B5Pb2IO9,3.311,5.383987698,13.41369988,0.35677879,1.764705882,0.23943662,0.352112676,0.211267606,0,18.47058824,19.01038062,6.456747405,43.49141588,48.33296734,813.0158824,902.9318339,54.8,1.363321799,2.647058824,1.065743945,80,85,20.70588235,66,1.4,2.851764706,0.62283737,1.764705882,2.906574394,5.640138408,1.363321799,35.8425,12.76720588,0.510705882,85.41176471,80.24913495
B5Pb2BrO9,3.321,5.129207376,13.18493134,0.340111465,1.764705882,0.23943662,0.352112676,0.211267606,0,17.41176471,17.26643599,6.408304498,40.72668235,43.77928858,805.8952941,907.1204152,54.8,1.363321799,2.588235294,0.968858131,80,83.88235294,18.93425606,66,1.4,2.869411765,0.614809689,1.764705882,2.906574394,5.640138408,1.363321799,22.3075,11.97102941,0.533941176,85.41176471,80.24913495
Ba3BPO7,3.337,4.642989602,16.8617862,0.68193638,0,0.428571429,0.571428571,0,0,20.33333333,17.83333333,28.45833333,47.14679683,45.09010158,504.075,555.2833333,54.8,5.083333333,3.083333333,1.458333333,149,108.1666667,53.41666667,66,2.55,2.581666667,1.001388889,0,0,1.611111111,0.916666667,56.4175,23.68731151,0.262416667,78.25,90
Ge3(SbO3)4,3.339,5.142476425,15.24378368,0.298590183,3.684210526,0.218390805,0.379310345,0.402298851,0,20.84210526,16.22160665,2.127423823,47.20804211,39.42144266,416.1536842,456.446759,54.8,0.664819945,2.947368421,1.1966759,73,89.89473684,30.18282548,66,1.43,2.921578947,0.654847645,3.684210526,4.653739612,3.988919668,0.664819945,22.455,16.02710526,0.060473684,78.05263158,83.43490305
Ba3B3Pb2ClO9,3.365,5.577293226,17.17354317,0.626921924,1.111111111,0.272727273,0.363636364,0.151515152,0,24.22222222,23.43209877,20.74074074,57.6812,59.775,661.6677778,674.8881481,54.8,3.666666667,3.166666667,1.574074074,149,104.7222222,45.93209877,66,2.55,2.642777778,0.854691358,1.111111111,1.975308642,4.592592593,1.259259259,56.4175,20.83055556,0.3925,100.3888889,92.43209877
BAsPbO5,3.384,5.79469042,13.35843947,0.354607148,2.5,0.210526316,0.342105263,0.263157895,0,20,18.75,3.75,46.6162,47.2223,539.07625,605.3453125,54.8,0.9375,2.75,1.125,80,84.875,23.8125,66,1.4,2.96875,0.5890625,2.5,3.75,6,0.9375,20.9375,12.8728125,0.1905,77.125,81.40625
BaGePbO4,3.43,6.322345362,18.05371199,0.61609125,2.857142857,0.205882353,0.294117647,0.294117647,0,28.85714286,23.83673469,18.53061224,68.7378,60.27245714,433.03,432.2628571,54.8,3.265306122,3.428571429,1.632653061,149,106.4285714,46.20408163,66,2.55,2.712857143,0.831020408,2.857142857,4.081632653,6.448979592,0.979591837,54.485,21.58928571,0.054714286,103.8571429,104.9795918
Ba4NaGa2B8(BrO6)3,3.473,4.104108464,14.90216392,0.494579667,1.388888889,0.325688073,0.444954128,0.229357798,0,16.27777778,13.58333333,18.31018519,36.83147137,33.16570876,709.5691667,792.7316667,54.8,3.342592593,2.75,1.083333333,149,96.94444444,36.69753086,66,2.55,2.645277778,0.847175926,1.388888889,2.391975309,2.595679012,1.388888889,56.4175,17.52856481,0.460083333,83.58333333,77.02314815
Ba3Sc(BO3)3,3.474,4.709571984,13.95729961,0.707098271,0.0625,0.444444444,0.541666667,0.013888889,0,17.25,15,27.65625,39.585282,37.324473,771.95,806.79375,54.8,4.875,2.875,1.3125,149,103.8125,49.96875,66,2.55,2.569375,0.979453125,0.0625,0.1171875,1.6875,1.6875,56.4175,19.77921875,0.28575,92.9375,91.0546875
RbTa(GeO3)3,3.484,4.572955716,16.29716473,0.437492168,2.357142857,0.232758621,0.362068966,0.284482759,0.071428571,19.85714286,15.24489796,14.44897959,44.88073429,37.13314408,552.1328571,673.6669388,54.8,3.06122449,2.928571429,1.193877551,154,96,38.57142857,66,2.62,2.807857143,0.812755102,2.357142857,3.367346939,3.979591837,1.163265306,81.6175,18.55732143,0.082071429,88.64285714,98.54081633
SrGePbO4,3.486,6.324571673,16.18296378,0.615635877,2.857142857,0.205882353,0.294117647,0.294117647,0,26.28571429,20.89795918,18.7755102,61.6368,52.15702857,440.1728571,440.4261224,54.8,3.265306122,3.285714286,1.469387755,129,103.5714286,42.93877551,66,2.49,2.721428571,0.82122449,2.857142857,4.081632653,6.448979592,0.979591837,45.125,20.25214286,0.054714286,103.2857143,104.3265306
Ge3(BiO3)4,3.494,7.135210311,15.25980684,0.358803519,3.684210526,0.165217391,0.286956522,0.304347826,0,27.57894737,24.73130194,2.060941828,65.57023158,62.61578726,340.4947368,360.8775623,54.8,0.664819945,3.157894737,1.462603878,82,91.78947368,32.57617729,66,1.43,2.915263158,0.662825485,3.684210526,4.653739612,7.711911357,0.664819945,23.845,16.31973684,0.060473684,45.63157895,56.64265928
LiPbPO4,3.504,5.314087028,13.79871893,0.46595402,1.428571429,0.224137931,0.362068966,0.172413793,0,18.85714286,18.04081633,20.65306122,44.15890886,46.5831689,227.2571429,197.0938776,54.8,3.551020408,2.714285714,1.020408163,80,92.14285714,29.87755102,66,2.46,2.751428571,0.786938776,1.428571429,2.448979592,5.632653061,0.693877551,19.005,14.81336735,0.232142857,72,88.57142857
KTa(GeO3)3,3.518,4.320684057,15.97578726,0.402658401,2.357142857,0.232758621,0.362068966,0.284482759,0.071428571,18.57142857,13.59183673,14.57142857,41.56862714,33.22762449,553.8521429,672.6844898,54.8,3.06122449,2.857142857,1.102040816,137,94.78571429,37.01020408,66,2.62,2.807857143,0.812755102,2.357142857,3.367346939,3.979591837,1.163265306,64.00166667,17.29904762,0.082071429,88.64285714,98.54081633
K2LiBO3,3.523,2.410344705,14.16687026,1.081611047,0,0.458333333,0.541666667,0,0,10,5.142857143,39.63265306,20.56382857,10.59112653,519.8785714,522.3204082,54.8,6.979591837,2.571428571,0.816326531,137,116.5714286,52.65306122,66,2.62,2.14,1.114285714,0,0,2.204081633,0.857142857,65.93416667,28.18488095,0.217714286,127,98.57142857
BaBAsO5,3.543,4.373009578,14.38475365,0.478777129,1.25,0.32,0.48,0.2,0,16.75,13.875,17.25,37.882075,34.1211125,589,667.75,54.8,3.125,2.75,1.125,149,93.5,36.75,66,2.55,2.78875,0.8140625,1.25,2.1875,2.1875,0.875,56.4175,17.3078125,0.1905,77.625,82.03125
Na4Ga3Ge3B(HO3)4,3.563,3.053603764,14.61974029,0.414355263,2.222222222,0.280487805,0.353658537,0.365853659,0,12.51851852,8.436213992,20.83676269,26.88457915,19.68752038,336.5944444,353.5499588,54.8,5.860082305,2.444444444,0.855967078,135,88.51851852,37.39368999,66,2.51,2.492592593,0.842139918,2.222222222,3.456790123,3.300411523,1.141289438,22.62833333,14.27604938,1.262407407,106.2592593,93.17695473
SnB4O7,3.571,4.4329434,8.55158571,0.286430937,0.833333333,0.352941176,0.5,0.147058824,0,10.5,6.583333333,6.513888889,22.82915,15.98014167,856.7233333,994.1844444,54.8,1.361111111,2.25,0.458333333,73,78.08333333,14.09722222,66,1.48,2.85,0.688333333,0.833333333,1.527777778,1.777777778,1.361111111,26.1125,10.47583333,0.508,74.08333333,72.43055556
Tb2Ge2O7,3.601,6.568965976,13.21669229,0.464938965,1.818181818,0.239130435,0.347826087,0.217391304,0,22.72727273,18.74380165,16.72727273,52.28422727,46.18068926,551.3090909,631.9206612,54.8,3.73553719,3.090909091,1.388429752,128,99.09090909,42.11570248,66,2.23,2.774545455,0.846942149,1.818181818,2.975206612,3.008264463,1.157024793,22.63166667,15.74712121,0.069636364,83.81818182,91.40495868
BaZnBO3F,3.621,4.689069647,14.19269091,0.581246246,1.428571429,0.333333333,0.428571429,0.238095238,0,17.71428571,14.44897959,18.85714286,40.07351474,35.01713443,608.3685714,633.0212245,54.8,3.551020408,2.857142857,1.224489796,158,96.57142857,41.10204082,66,3.09,2.697142857,1.003265306,1.428571429,2.448979592,2,1.183673469,56.4175,17.39214286,0.499142857,91.42857143,89.91836735
Ba2TiOF6,3.638,4.657581617,16.13309127,0.612405556,0.2,0.357142857,0.607142857,0.035714286,0.1,19.6,15.04,30.16,45.25108192,37.35355085,431.68,529.192,53.5,5.96,3,1.4,158,99.8,58.12,57,3.09,3.064,1.1744,0.2,0.36,1.76,1.36,54.485,21.122,1.182,75.4,85.16
Ba2WO3F4 ,3.649,5.813770604,16.63705904,0.591295982,0.4,0.285714286,0.457142857,0.057142857,0.1,24.6,22.44,28.32,58.24858128,56.74965123,607.34,774.596,53.5,5.56,3.2,1.68,158,101.8,57.32,57,3.09,3.038,0.9948,0.4,0.72,2.6,1.12,54.485,20.9375,0.788,78.3,90.42
TaTl(GeO3)3,3.657,5.474484326,16.18979375,0.327312311,3.071428571,0.197183099,0.302816901,0.302816901,0.071428571,23,19.28571429,6.795918367,53.37469857,48.05395531,571.0285714,663.722449,54.8,1.836734694,3,1.285714286,104,90.64285714,31.68367347,66,1.94,2.865,0.739285714,3.071428571,3.959183673,5.326530612,1.285714286,17.805,13.99928571,0.082071429,86.14285714,95.32653061
Na5Pr4Ge4O16F,3.688,4.78075952,14.40443061,0.638594023,1.333333333,0.298913043,0.418478261,0.217391304,0,18.53333333,14.38222222,32.38,41.47094165,34.82820445,414.875,422.84,54.8,5.786666667,2.966666667,1.095555556,146,107.8333333,48.01111111,66,3.05,2.541,1.054866667,1.333333333,2.311111111,2.155555556,2.257777778,26.57,17.87747222,0.116733333,100.9333333,100.5911111
KZn2BO3Cl2,3.708,2.530801013,21.84419561,0.401218125,2.222222222,0.283333333,0.383333333,0.333333333,0,15.77777778,7.580246914,18.04938272,33.28594444,16.51879506,508.61,490.5622222,54.8,3.407407407,2.888888889,0.790123457,137,103.6666667,30.22222222,66,2.62,2.533333333,0.882962963,2.222222222,3.456790123,2.518518519,1.061728395,65.93416667,20.50101852,0.723333333,105.2222222,80.4691358
