Formula,Band gap,MP-ID,density,vpa,packing fraction,Central symmetry
Ba7MnFe6F34,2.09,mp-22484,4.303634131,16.05474349,0.50565146,0
TeRhCl,0.865,mp-22945,5.965373044,24.6776676,0.351043781,0
Rb2(NbCl3)3,1.094,mp-22976,3.25605027,28.00301374,0.471205545,0
K2VH2OF5,2.225,mp-23839,2.519829575,14.50646049,0.646509083,0
Mn2H2SO6,2.764,mp-24250,3.745828408,9.670198458,0.307753792,0
CoH4(BrO)2,2.417,mp-24410,3.245942429,14.48161689,0.19272406,0
KH2N,2.068,mp-24428,1.747885958,13.09158275,0.876202007,0
Rb3Au3Cl8,0.82,mp-27301,4.620700967,29.03005187,0.559796974,0
K3GeTe3,1.056,mp-27331,3.546234882,38.3122103,0.65801501,0
Nb(SCl)2,1.593,mp-27362,3.260734098,23.21607439,0.254351454,0
Rb2CoI4,0.572,mp-27517,3.956675396,44.21552773,0.533120234,0
IrCl3,1.94,mp-27666,5.333238551,23.24090267,0.246035682,0
KTlO,1.228,mp-27716,6.128464678,23.43590443,1.055900204,0
RhCl3,1.562,mp-27770,3.788441961,22.93105458,0.249360155,0
NClO6,1.427,mp-27774,2.320547459,13.01069795,0.103451491,0
BaSn2S3,1.352,mp-27802,4.661757278,27.95861241,0.475323062,0
Mn2O2F9,0.61,mp-27807,3.227949655,12.38025967,0.18335658,0
Cu2P7,0.911,mp-28034,3.586012263,17.69446833,0.313553868,0
K2PdF4,1.908,mp-28163,3.626893956,17.04541701,0.861504395,0
K3Al2As3,1.186,mp-28347,2.931152545,28.04405787,0.754531743,0
Cs2HgI4,2.041,mp-28421,4.550621469,50.7747365,0.583410727,0
Ti(ClO4)4,2.91,mp-28481,2.473797965,14.24552276,0.14282068,0
K2(NbCl3)3,1.094,mp-28501,3.042376508,26.35421803,0.447783402,0
Ba(PdS2)2,0.885,mp-28967,5.022717317,22.59581457,0.514463224,0
SbSeCl9,1.998,mp-28985,2.682314395,29.25367961,0.176636019,0
TaI2O,0.927,mp-29027,6.676174111,28.02871451,0.327012053,0
Sr(BiO2)2,2.568,mp-29048,7.207046114,18.7476686,0.544402974,0
Ba3(GaS3)2,2.678,mp-29302,4.061653626,27.6451931,0.55386117,0
Tl3BS3,1.438,mp-29337,6.571061639,25.99812571,0.556806883,0
Na3InS3,2.774,mp-29375,2.660962165,24.95990609,0.580656804,0
Na5InS4,2.022,mp-29376,2.572259083,23.11266269,0.668459608,0
K2Ge2Se5,1.802,mp-29388,3.445441223,33.10888478,0.461172181,0
CsBiO2,2.368,mp-29506,6.351593672,24.43678323,0.94723002,0
TaCl5,2.824,mp-29831,3.469387392,28.57500062,0.196640425,0
Hg2WO4,1.933,mp-29894,9.374806761,16.42272449,0.367082326,0
Li2B2Se5,1.686,mp-30100,4.286255141,18.52268547,0.375144272,0
Nd4Se3N2,1.391,mp-30292,6.435849589,24.13466636,0.586984,0
K2(NbBr3)3,1.098,mp-31012,4.169420433,30.61107106,0.431333824,0
As2Pb8O13,2.062,mp-31107,8.053581422,18.06762592,0.529256925,0
Y2MoO6,2.221,mp-31124,5.358870434,12.73031887,0.58527618,0
Pr4Se3N2,1.403,mp-31303,6.174348474,24.75828422,0.5721989,0
K2Ta3Cl9,1.458,mp-31360,4.279405326,26.05671458,0.452895985,0
Sr2GeS4,2.32,mp-4578,3.509603777,25.42391857,0.516707102,0
PdSe2O5,1.075,mp-4649,4.790829914,14.9187367,0.240965329,0
MgGeO3,2.536,mp-4819,4.426262701,10.8752626,0.460361001,0
CaSb10(S3O5)2,1.764,mp-504882,4.688631778,21.11941123,0.326731292,0
TiSn6F16,2.704,mp-505113,4.686579417,16.39261791,0.255926239,0
SrMo3(PO7)2,2.114,mp-505189,3.945387376,13.9180994,0.3336122,0
Ba3V4O13,2.946,mp-505392,4.018473049,17.01953834,0.522562368,0
Na4TiSe4,1.67,mp-505798,3.203227371,26.24614472,0.570211337,0
Li5ReO6,2.216,mp-5061,5.152445328,8.511149323,0.779222215,0
RbGd(WO4)2,1.319,mp-510541,7.194850722,14.20148092,0.625761259,0
NbTeI3,0.512,mp-540924,5.209114434,38.33085111,0.306521823,0
TiI4,1.108,mp-541013,4.577633697,40.30048733,0.28520847,0
Rb2(ReSe2)3,1.052,mp-541059,6.998459644,25.95576644,0.622965206,0
VS4,0.953,mp-541155,2.6677125,22.30908253,0.242602137,0
SbBr5F6,1.746,mp-541259,3.172592489,27.70844749,0.143652866,0
Y2S3,1.599,mp-541289,3.805067244,23.91541598,0.513680545,0
