Formula,band_gap,MP ID,density,vpa,packing fraction
BaGa4Se7,1.495,mp-1191072,4.989722288,26.87125271,0.381557823
LiGaGe2Se6,1.51,mp-1222398,4.109947039,28.10848071,0.272369905
Li2In2GeSe6,1.541,mp-1191200,4.375023986,27.25574041,0.344021448
LiGaTe2,1.588,mp-5048,4.598910541,29.95672192,0.375215481
HgBr2,1.682,mp-571558,5.884107445,33.90233575,0.264273036
Cs2Hg3I8,1.731,mp-540574,5.00777094,48.02521556,0.451058203
KPSe6,1.781,mp-18625,3.825810071,29.50533246,0.368640085
RbPSe6,1.792,mp-17945,4.004124228,30.59510317,0.395382486
Li2In2SiSe6,1.815,mp-1191817,4.234307584,26.57309449,0.343943933
RbB6S2(Cl3O2)2,1.815,mp-1201123,1.937332421,22.15804777,0.253978476
NaBa4Ge3S10Cl,1.842,mp-1201802,3.585698954,27.94009208,0.492724294
Rb3Ta2AsS11,1.893,mp-1209358,3.654783173,27.9539749,0.507288072
BaGa2GeSe6,1.918,mp-1227970,4.882512152,27.99605782,0.38019746
KCd4Ga5S12,1.974,mp-1223535,3.743866079,24.63917207,0.375004678
Li2Ga2GeS6,1.994,mp-554782,2.839573933,22.24084634,0.315797406
GeBi2O5,2.053,mp-23446,8.153105674,14.52667204,0.404597948
Dy3GaS6,2.061,mp-1189242,5.4745472,22.73725344,0.447210593
LiGaSe2,2.065,mp-11582,4.165028141,23.38134841,0.371172725
Cd2Ge7O16,2.1,mp-29213,5.515144448,11.91452876,0.345602044
Ba2CoGe2O7,2.124,mp-1190827,4.820163333,16.96261825,0.571164984
Sr2CoGe2O7,2.15,mp-1191317,4.431889673,15.34466326,0.543199444
Ga2Ge4Pb3O14,2.169,mp-636461,6.689967642,13.76610056,0.432961617
RbGeSbO5,2.177,mp-6639,4.708901144,15.86276556,0.629120835
AgZnPS4,2.193,mp-558807,3.662239615,21.53824281,0.321071625
BaCdSnS4,2.196,mp-12306,4.020042911,29.31038503,0.422831655
Sn2P2S6,2.217,mp-13923,3.321603736,24.58398547,0.240198737
La4InSbS9,2.219,mp-1196663,4.693793145,25.49019468,0.497721101
LiInS2,2.221,mp-1188392,3.377928278,22.84506369,0.402123655
Na2In2SiS6,2.237,mp-1190138,2.884914116,25.95881752,0.387898087
Li2CdGeS4,2.247,mp-1189383,3.09967132,21.91025687,0.376963996
PbLi2GeS4,2.251,mp-19896,4.104667876,21.33904671,0.438782003
Ba3Ga2(Ge2O7)2,2.258,mp-554139,5.288866643,14.5514788,0.563775579
Na2ZnGe2S6,2.266,mp-1190399,2.801273489,24.19935886,0.378143928
GePb3O5,2.27,mp-559144,8.349635193,17.10854234,0.558474734
BaZnSnS4,2.271,mp-13593,3.822013021,27.91178281,0.416930802
K3Nb3Ge2O13,2.301,mp-541626,4.069450455,14.55934357,0.654926997
Zn2Ge3O8,2.339,mp-27843,5.446922781,11.17969419,0.36050189
NaGeSbO5,2.369,mp-8341,4.421562288,13.96062964,0.446829769
Ge(Bi3O5)4,2.376,mp-23352,9.204318987,15.8562438,0.443691426
BaGa2SiSe6,2.389,mp-1227978,4.675939639,27.65062291,0.375522642
